id;nome;siglaPartido;siglaUf;idLegislatura;email;uriPartido
220593;Abilio Brunini;PL;MT;57;;https://dadosabertos.camara.leg.br/api/v2/partidos/37906
204379;Acácio Favacho;MDB;AP;57;dep.acaciofavacho@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/36899
220714;Adail Filho;REPUBLICANOS;AM;57;dep.adailfilho@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/37908
221328;Adilson Barroso;PL;SP;57;dep.adilsonbarroso@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/37906
204560;Adolfo Viana;PSDB;BA;57;dep.adolfoviana@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/36835
204528;Adriana Ventura;NOVO;SP;57;dep.adrianaventura@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/37901
121948;Adriano do Baldy;PP;GO;57;dep.adrianodobaldy@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/37903
74646;Aécio Neves;PSDB;MG;57;dep.aecioneves@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/36835
160508;Afonso Florence;PT;BA;57;;https://dadosabertos.camara.leg.br/api/v2/partidos/36844
136811;Afonso Hamm;PP;RS;57;dep.afonsohamm@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/37903
178835;Afonso Motta;PDT;RS;57;dep.afonsomotta@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/36786
160527;Aguinaldo Ribeiro;PP;PB;57;dep.aguinaldoribeiro@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/37903
204495;Airton Faleiro;PT;PA;57;dep.airtonfaleiro@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/36844
204549;AJ Albuquerque;PP;CE;57;dep.ajalbuquerque@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/37903
