nome;uf;ano;data;tipo;valor
Abilio Brunini;MT;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;52.98
Abilio Brunini;MT;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;67.3
Abilio Brunini;MT;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;43.2
Abilio Brunini;MT;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;43.2
Abilio Brunini;MT;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;43.2
Abilio Brunini;MT;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;43.2
Abilio Brunini;MT;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;118.15
Abilio Brunini;MT;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;67.3
Abilio Brunini;MT;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;43.2
Abilio Brunini;MT;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1500.0
Abilio Brunini;MT;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1600.0
Abilio Brunini;MT;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1050.0
Abilio Brunini;MT;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;850.0
Abilio Brunini;MT;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;850.0
Abilio Brunini;MT;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;850.0
Abilio Brunini;MT;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;67.3
Abilio Brunini;MT;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;67.3
Abilio Brunini;MT;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;224.85
Abilio Brunini;MT;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;250.0
Abilio Brunini;MT;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;149.9
Abilio Brunini;MT;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;149.0
Abilio Brunini;MT;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;149.9
Abilio Brunini;MT;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;149.9
Abilio Brunini;MT;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;149.9
Abilio Brunini;MT;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;149.9
Abilio Brunini;MT;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1050.0
Abilio Brunini;MT;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1050.0
Abilio Brunini;MT;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1050.0
Abilio Brunini;MT;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1050.0
Abilio Brunini;MT;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1050.0
Acácio Favacho;AP;2023;;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;25000.0
Acácio Favacho;AP;2023;;TELEFONIA;353.7
Acácio Favacho;AP;2023;;TELEFONIA;116.43
Acácio Favacho;AP;2023;;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;10000.0
Acácio Favacho;AP;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;809.6
Acácio Favacho;AP;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;221.98
Acácio Favacho;AP;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;283.97
Acácio Favacho;AP;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;299.98
Acácio Favacho;AP;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;100.04
Acácio Favacho;AP;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;150.0
Acácio Favacho;AP;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;200.0
Acácio Favacho;AP;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;330.03
Acácio Favacho;AP;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;200.0
Acácio Favacho;AP;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;250.2
Acácio Favacho;AP;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;250.0
Acácio Favacho;AP;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;750.0
Acácio Favacho;AP;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;750.0
Acácio Favacho;AP;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;750.0
Acácio Favacho;AP;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;750.0
Acácio Favacho;AP;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;750.0
Acácio Favacho;AP;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;750.0
Acácio Favacho;AP;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;373.5
Acácio Favacho;AP;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;215.62
Acácio Favacho;AP;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;349.98
Acácio Favacho;AP;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;300.0
Acácio Favacho;AP;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Acácio Favacho;AP;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;300.0
Acácio Favacho;AP;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;300.0
Acácio Favacho;AP;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;322.01
Acácio Favacho;AP;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;324.63
Acácio Favacho;AP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;750.0
Acácio Favacho;AP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;750.0
Acácio Favacho;AP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;750.0
Acácio Favacho;AP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;750.0
Acácio Favacho;AP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;750.0
Acácio Favacho;AP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;750.0
Acácio Favacho;AP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;800.0
Acácio Favacho;AP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;800.0
Acácio Favacho;AP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;800.0
Acácio Favacho;AP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;530.1
Acácio Favacho;AP;2025;;COMBUSTÍVEIS E LUBRIFICANTES.;293.66
Acácio Favacho;AP;2025;;COMBUSTÍVEIS E LUBRIFICANTES.;299.99
Acácio Favacho;AP;2025;;COMBUSTÍVEIS E LUBRIFICANTES.;389.15
Acácio Favacho;AP;2025;;COMBUSTÍVEIS E LUBRIFICANTES.;232.91
Acácio Favacho;AP;2025;;COMBUSTÍVEIS E LUBRIFICANTES.;325.02
Acácio Favacho;AP;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;150.0
Acácio Favacho;AP;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;300.06
Acácio Favacho;AP;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;258.31
Acácio Favacho;AP;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;349.4
Acácio Favacho;AP;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;320.02
Acácio Favacho;AP;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;341.99
Acácio Favacho;AP;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;303.65
Acácio Favacho;AP;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;389.65
Acácio Favacho;AP;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;320.04
Acácio Favacho;AP;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;330.48
Acácio Favacho;AP;2026;;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;2500.0
Acácio Favacho;AP;2026;;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;2500.0
Acácio Favacho;AP;2026;;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;1500.0
Acácio Favacho;AP;2026;;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;1500.0
Acácio Favacho;AP;2026;;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;2000.0
Adail Filho;AM;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;945.2
Adail Filho;AM;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;175.0
Adail Filho;AM;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;150.0
Adail Filho;AM;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;150.0
Adail Filho;AM;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;150.0
Adail Filho;AM;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;150.0
Adail Filho;AM;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;150.0
Adail Filho;AM;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;150.0
Adail Filho;AM;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;150.0
Adail Filho;AM;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;100.02
Adail Filho;AM;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2024;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2025;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2025;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2025;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2025;;COMBUSTÍVEIS E LUBRIFICANTES.;150.0
Adail Filho;AM;2025;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2025;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2025;;COMBUSTÍVEIS E LUBRIFICANTES.;190.0
Adail Filho;AM;2025;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2025;;COMBUSTÍVEIS E LUBRIFICANTES.;150.0
Adail Filho;AM;2025;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2025;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2025;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2025;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2025;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2025;;COMBUSTÍVEIS E LUBRIFICANTES.;100.0
Adail Filho;AM;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;469.49
Adail Filho;AM;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;456.94
Adail Filho;AM;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;346.2
Adail Filho;AM;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;495.91
Adail Filho;AM;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;225.07
Adail Filho;AM;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;200.05
Adail Filho;AM;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;150.0
Adail Filho;AM;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;150.0
Adail Filho;AM;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;150.0
Adail Filho;AM;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;358.18
Adail Filho;AM;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;463.0
Adail Filho;AM;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;150.0
Adail Filho;AM;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;484.34
Adail Filho;AM;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;200.0
Adail Filho;AM;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;212.01
Adilson Barroso;SP;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;109.06
Adilson Barroso;SP;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;76.02
Adilson Barroso;SP;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;892.65
Adilson Barroso;SP;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;230.7
Adilson Barroso;SP;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;4543.7
Adilson Barroso;SP;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;223.45
Adilson Barroso;SP;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;50.0
Adilson Barroso;SP;2023;;COMBUSTÍVEIS E LUBRIFICANTES.;153.94
Adilson Barroso;SP;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;4033.34
Adilson Barroso;SP;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;1900.0
Adilson Barroso;SP;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;51.4
Adilson Barroso;SP;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;49.85
Adilson Barroso;SP;2024;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;40.92
Adilson Barroso;SP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;3309.04
Adilson Barroso;SP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;38.27
Adilson Barroso;SP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;42.17
Adilson Barroso;SP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;68.36
Adilson Barroso;SP;2025;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;44.91
Adilson Barroso;SP;2026;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;5500.0
Adilson Barroso;SP;2026;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;3500.0
Adilson Barroso;SP;2026;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;45.23
Adilson Barroso;SP;2026;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;44.55
Adilson Barroso;SP;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;306.89
Adilson Barroso;SP;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;301.61
Adilson Barroso;SP;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;283.09
Adilson Barroso;SP;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;345.75
Adilson Barroso;SP;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;335.47
Adilson Barroso;SP;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;395.68
Adilson Barroso;SP;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;336.94
Adilson Barroso;SP;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;379.05
Adilson Barroso;SP;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;378.53
Adilson Barroso;SP;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;282.06
Adilson Barroso;SP;2026;;COMBUSTÍVEIS E LUBRIFICANTES.;297.74
Adolfo Viana;BA;2023;;TELEFONIA;235.8
Adolfo Viana;BA;2023;;TELEFONIA;232.86
Adolfo Viana;BA;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;269.0
Adolfo Viana;BA;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;86.0
Adolfo Viana;BA;2023;;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;529.4
