id;nome
220593;Abilio Brunini
204379;Acácio Favacho
220714;Adail Filho
221328;Adilson Barroso
204560;Adolfo Viana
204528;Adriana Ventura
121948;Adriano do Baldy
74646;Aécio Neves
160508;Afonso Florence
136811;Afonso Hamm
178835;Afonso Motta
160527;Aguinaldo Ribeiro
204495;Airton Faleiro
204549;AJ Albuquerque
73579;Alberto Fraga
74696;Alberto Mourão
220538;Albuquerque
160559;Alceu Moreira
204501;Alencar Santana
178972;Alex Manente
204571;Alex Santana
220542;Alexandre Guimarães
220542;Alexandre Guimarães
160545;Alexandre Leite
220554;Alexandre Lindenmeyer
204503;Alexandre Padilha
221148;Alfredinho
220576;Alfredo Gaspar
74057;Alice Portugal
178927;Aliel Machado
204353;Aline Gurgel
226708;Allan Garcês
178937;Altineu Côrtes
178881;Aluisio Mendes
178881;Aluisio Mendes
220596;Amália Barros
220707;Amanda Gentil
204356;Amaro Neto
220715;Amom Mandel
107970;Ana Paula Leão
220556;Ana Paula Lima
220632;Ana Pimentel
178831;ANDRÉ ABDON
220657;André Fernandes
204423;André Ferreira
133439;André Figueiredo
178882;André Fufuca
204515;André Janones
220676;Andreia Siqueira
123756;Antônia Lúcia
220544;Antonio Andrade
160553;Antonio Brito
220638;Antonio Carlos Rodrigues
220675;Antônio Doido
220549;Any Ortiz
73433;Arlindo Chinaglia
141391;Arnaldo Jardim
160541;Arthur Lira
160600;Arthur Oliveira Maia
74090;Átila Lins
123086;Átila Lira
160665;Augusto Coutinho
220577;Augusto Pupio
220577;Augusto Puppio
160512;Aureo Ribeiro
69871;Bacelar
178975;Baleia Rossi
220605;Bandeira de Mello
220612;Bebeto
220612;Bebeto
73701;Benedita da Silva
109429;Benes Leocádio
204358;Beto Pereira
220698;Beto Preto
220683;Beto Richa
204374;Bia Kicis
204388;Bibo Nunes
160538;Bohn Gass
74052;Bosco Costa
210989;Bruno Farias
220635;Bruno Ganem
220574;Cabo Gilberto Silva
143942;Caio Vianna
220548;Camila Jara
204572;Capitão Alberto Neto
220690;Capitão Alden
178829;Capitão Augusto
229069;Capitão Samuel
229106;Carla Ayres
213762;Carla Dickson
204507;Carla Zambelli
204361;Carlos Chiodini
178962;Carlos Gomes
178993;Carlos Henrique Gaguim
204460;Carlos Jordy
74262;Carlos Sampaio
74262;Carlos Sampaio
204426;Carlos Veras
141398;Carlos Zarattini
164360;Carmen Zanotto
220704;Carol Dartora
204369;Caroline de Toni
220699;Castro Neto
206018;Célia Xakriabá
178876;Célio Silveira
204488;Célio Studart
73441;Celso Russomanno
204496;Celso Sabino
204504;Cezinha de Madureira
205476;Charles Fernandes
74171;Chico Alencar
204476;Chiquinho Brazão
204476;Chiquinho Brazão
204462;Chris Tonietto
220665;Clarissa Tércio
74537;Claudio Cajado
141408;Cleber Verde
141408;Cleber Verde
88256;Clodoaldo Magalhães
98148;Cobalchini
204376;Coronel Armando
204376;Coronel Armando
220594;Coronel Assis
204378;Coronel Chrisóstomo
220595;Coronel Fernanda
220666;Coronel Meira
204514;Coronel Tadeu
222142;Coronel Telhada
220590;Coronel Ulysses
178963;Covatti Filho
220608;Cristiane Lopes
234840;Cristiano Furlan
204355;Da Vitoria
141411;Dagoberto Nogueira
220555;Daiana Santos
220692;Dal Barreto
74467;Damião Feliciano
220629;Dandara
220603;Dani Cunha
220571;Daniel Agrobom
74060;Daniel Almeida
220582;Daniel Barbosa
204367;Daniel Freitas
228941;Daniel José
220614;Daniel Soranz
204409;Daniel Trzeciak
204459;Daniela do Waguinho
220557;Daniela Reinehr
62881;Danilo Forte
160552;Danrlei de Deus Hinterholz
116379;Darci de Matos
204511;David Soares
220659;Dayany Bittencourt
220659;Dayany do Capitão
220539;Defensor Stélio Dener
220565;Delegada Adriana Accorsi
220625;Delegada Ione
220561;Delegada Katarina
220642;Delegado Bruno Lima
220673;Delegado Caveira
220649;Delegado da Cunha
178908;Delegado Éder Mauro
220583;Delegado Fabio Costa
204512;Delegado Marcelo Freitas
220701;Delegado Matheus Laiola
220652;Delegado Palumbo
220654;Delegado Paulo Bilynskyj
220619;Delegado Ramagem
228272;Délio Pinheiro
220705;Deltan Dallagnol
220553;Denise Pessôa
220689;Detinha
160588;Diego Andrade
220691;Diego Coronel
178929;Diego Garcia
73768;Dilceu Sperafico
220671;Dilvanda Faro
160599;Dimas Fabiano
220602;Dimas Gadelha
143632;Domingos Neto
160758;Domingos Sávio
220573;Dorinaldo Malafaia
227433;Douglas Viegas
204450;Doutor Luizinho
221339;Dr Benjamim
227401;Dr Fabio Rueda
227991;Dr Flávio
226708;Dr. Allan Garcês
221339;Dr. Benjamim
220614;Dr. Daniel Soranz
220610;Dr. Fernando Máximo
220688;Dr. Francisco
204518;Dr. Frederico
204518;Dr. Frederico
212625;Dr. Gonçalo
220570;Dr. Ismael Alexandrino
204481;Dr. Jaziel
204351;Dr. Luiz Ovando
228616;Dr. Remy Soares
220528;Dr. Victor Linhalis
204412;Dr. Zacharias Calil
220674;Dra. Alessandra Haber
230088;Dra. Mayra Pinheiro
220686;Duarte
227800;Duarte Gonçalves Jr
227800;Duarte Gonçalves Jr
227800;Duarte Gonçalves Jr
220686;Duarte Jr.
220540;Duda Ramos
220623;Duda Salabert
204541;Eduardo Bismarck
92346;Eduardo Bolsonaro
141421;Eduardo da Fonte
220589;Eduardo Velloso
74075;Elcione Barbalho
204364;Eli Borges
226553;Eliane Braz
229585;Elisangela Araujo
220008;Eliza Virgínia
234406;Elmano Férrer
178854;Elmar Nascimento
218086;Ely Santos
198783;Emanuel Pinheiro Neto
161550;Emidinho Madeira
225730;Enfermeira Ana Paula
225730;Enfermeira Ana Paula
230765;Enfermeira Rejane
132504;Enio Verri
220663;Eriberto Medeiros
220645;Erika Hilton
160575;Erika Kokay
160640;Eros Biondini
204482;Euclydes Pettersen
204482;Euclydes Pettersen
74454;Eunício Oliveira
178871;Evair Vieira de Melo
234388;Fabiano Cazeca
234388;Fabiano Cazeca
178905;Fabio Garcia
68720;Fábio Henrique
220681;Fábio Macedo
171623;Fabio Reis
204368;Fabio Schiochet
220653;Fábio Teruel
74065;Fatima Pelaes
220712;Fausto Jr.
66828;Fausto Pinato
220712;Fausto Santos Jr.
220646;Felipe Becari
72442;Felipe Carreras
204398;Felipe Francischini
227370;Felipe Saliba
227370;Felipe Saliba
160666;Félix Mendonça Júnior
204407;Fernanda Melchionna
220656;Fernanda Pessoa
141431;Fernando Coelho Filho
204445;Fernando Mineiro
92699;Fernando Monteiro
92699;Fernando Monteiro
92699;Fernando Monteiro
204427;Fernando Rodolfo
204411;Filipe Barros
220545;Filipe Martins
160598;Flávia Morais
225727;Flavinha
191923;Flávio Nogueira
220700;Florentino Neto
220551;Franciane Bayer
204494;Fred Costa
204494;Fred Costa
220534;Fred Linhares
224117;Gabriel Mota
220708;Gabriel Nunes
204473;General Girão
220611;General Pazuello
178966;Geovania de Sá
220702;Geraldo Mendes
74374;Geraldo Resende
220587;Gerlen Diniz
204394;Gervásio Maia
74383;Giacobo
204491;Gilberto Abramo
74270;Gilberto Nascimento
74270;Gilberto Nascimento
220529;Gilson Daniel
204365;Gilson Marques
220526;Gilvan da Federal
220531;Gilvan Maximo
160673;Giovani Cherini
226179;Gisela Simona
152605;Glauber Braga
229333;Gláucia Santiago
204419;Glaustin da Fokus
204419;Glaustin da Fokus
107283;Gleisi Hoffmann
129618;Gorete Pereira
129618;Gorete Pereira
198197;Greyce Elias
220639;Guilherme Boulos
204531;Guilherme Derrite
204531;Guilherme Derrite
220664;Guilherme Uchoa
220568;Gustavo Gayer
204408;Gustinho Ribeiro
204456;Gutemberg Reis
178964;Heitor Schuch
178873;Helder Salomão
220537;Helena Lima
178909;Hélio Leite
204444;Helio Lopes
234788;Heloísa Helena
220672;Henderson Pinto
227324;Henrique Júnior
204539;Hercílio Coelho Diniz
100689;Hildo do Candango
178884;Hildo Rocha
141450;Hugo Leal
160674;Hugo Motta
220563;Icaro de Valmir
204533;Idilvan Alencar
204508;Igor Timo
204508;Igor Timo
98615;Ismael
220570;Ismael Alexandrino
204436;Isnaldo Bulhões Jr.
230764;Ivan Junior
73531;Ivan Valente
220696;Ivoneide Caetano
220670;Iza Arruda
220527;Jack Rocha
220697;Jadyel Alencar
220697;Jadyel Alencar
74848;Jandira Feghali
220567;Jeferson Rodrigues
74273;Jefferson Campos
160531;Jhonatan de Jesus
141456;Jilmar Tatto
141458;João Carlos Bacelar
230957;João Cury
178970;João Daniel
74550;João Leão
141459;João Maia
141459;João Maia
178910;Joaquim Passarinho
160548;Jonas Donizette
217480;Jones Moura
205550;Jorge Braz
214694;Jorge Goetten
214694;Jorge Goetten
178857;Jorge Solla
141464;José Airton Félix Cirilo
141470;José Guimarães
204472;José Medeiros
204391;José Nelto
204391;José Nelto
74079;José Priante
74554;José Rocha
209189;Joseildo Ramos
220578;Josenildo
74141;Josias Gomes
204563;Josimar Maranhãozinho
215043;Josivaldo JP
204474;Juarez Costa
220559;Julia Zanatta
220640;Juliana Cardoso
228837;Juliana Kolankiewicz
66385;Julio Arcoverde
74317;Júlio Cesar
204372;Julio Cesar Ribeiro
74253;Julio Lopes
228797;Júlio Oliveira
204457;Juninho do Pneu
204520;Junio Amaral
204497;Júnior Ferrari
204574;Junior Lourenço
204550;Júnior Mano
204550;Júnior Mano
178886;Juscelino Filho
208297;Katia Dias
208297;Katia Dias
208297;Katia Dias
220677;Keniston Braga
162067;Kiko Celeguim
204536;Kim Kataguiri
204536;Kim Kataguiri
98057;Lafayette de Andrada
74856;Laura Carneiro
141480;Lázaro Botelho
178832;Leandre
220600;Lebrão
220566;Lêda Borges
231911;Lenir de Assis
80815;Leo Prates
122195;Leonardo Gadelha
122195;Leonardo Gadelha
74156;Leonardo Monteiro
74299;Leônidas Cristino
92102;Leur Lomanto Júnior
139285;Lídice da Mata
74585;Lincoln Portela
74858;Lindbergh Farias
171139;Loreny
234253;Lucas Abrahao
220662;Lucas Ramos
204404;Lucas Redecker
138286;Luciano Alves
220581;Luciano Amaral
220581;Luciano Amaral
103758;Luciano Azevedo
74478;Luciano Bivar
178931;Luciano Ducci
227323;Luciano Galego
220616;Luciano Vieira
220616;Luciano Vieira
220616;Luciano Vieira
178954;Lucio Mosquini
229082;Lucyana Genésio
222429;Luis Carlos Gomes
160510;Luis Tibé
204410;Luisa Canziani
204448;Luiz Antonio Corrêa
141485;Luiz Carlos Busato
73778;Luiz Carlos Hauly
204485;Luiz Carlos Motta
74041;Luiz Couto
