;id;nome;siglaPartido;siglaUf;idLegislatura;email;uriPartido
0;220593;Abilio Brunini;PL;MT;57;Não informado;https://dadosabertos.camara.leg.br/api/v2/partidos/37906
1;204379;Acácio Favacho;MDB;AP;57;dep.acaciofavacho@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/36899
2;220714;Adail Filho;REPUBLICANOS;AM;57;dep.adailfilho@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/37908
3;221328;Adilson Barroso;PL;SP;57;dep.adilsonbarroso@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/37906
4;204560;Adolfo Viana;PSDB;BA;57;dep.adolfoviana@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/36835
5;204528;Adriana Ventura;NOVO;SP;57;dep.adrianaventura@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/37901
6;121948;Adriano do Baldy;PP;GO;57;dep.adrianodobaldy@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/37903
7;74646;Aécio Neves;PSDB;MG;57;dep.aecioneves@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/36835
8;160508;Afonso Florence;PT;BA;57;Não informado;https://dadosabertos.camara.leg.br/api/v2/partidos/36844
9;136811;Afonso Hamm;PP;RS;57;dep.afonsohamm@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/37903
10;178835;Afonso Motta;PDT;RS;57;dep.afonsomotta@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/36786
11;160527;Aguinaldo Ribeiro;PP;PB;57;dep.aguinaldoribeiro@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/37903
12;204495;Airton Faleiro;PT;PA;57;dep.airtonfaleiro@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/36844
13;204549;AJ Albuquerque;PP;CE;57;dep.ajalbuquerque@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/37903
14;73579;Alberto Fraga;PL;DF;57;dep.albertofraga@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/37906
15;74696;Alberto Mourão;MDB;SP;57;Não informado;https://dadosabertos.camara.leg.br/api/v2/partidos/36899
16;220538;Albuquerque;REPUBLICANOS;RR;57;dep.albuquerque@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/37908
17;160559;Alceu Moreira;MDB;RS;57;dep.alceumoreira@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/36899
18;204501;Alencar Santana;PT;SP;57;dep.alencarsantana@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/36844
19;178972;Alex Manente;CIDADANIA;SP;57;dep.alexmanente@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/37905
20;204571;Alex Santana;REPUBLICANOS;BA;57;dep.alexsantana@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/37908
21;220542;Alexandre Guimarães;REPUBLICANOS;TO;57;dep.alexandreguimaraes@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/36899
22;220542;Alexandre Guimarães;MDB;TO;57;dep.alexandreguimaraes@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/36899
23;160545;Alexandre Leite;UNIÃO;SP;57;dep.alexandreleite@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/38009
24;220554;Alexandre Lindenmeyer;PT;RS;57;dep.alexandrelindenmeyer@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/36844
25;204503;Alexandre Padilha;PT;SP;57;Não informado;https://dadosabertos.camara.leg.br/api/v2/partidos/36844
26;221148;Alfredinho;PT;SP;57;dep.alfredinho@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/36844
27;220576;Alfredo Gaspar;UNIÃO;AL;57;dep.alfredogaspar@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/38009
28;74057;Alice Portugal;PCdoB;BA;57;dep.aliceportugal@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/36779
29;178927;Aliel Machado;PV;PR;57;dep.alielmachado@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/36851
30;204353;Aline Gurgel;REPUBLICANOS;AP;57;Não informado;https://dadosabertos.camara.leg.br/api/v2/partidos/37908
31;226708;Allan Garcês;PP;MA;57;dep.allangarces@camara.leg.br;https://dadosabertos.camara.leg.br/api/v2/partidos/37903
