nome;uf;total_presencas
Magda Mofatto;GO;388
Max Lemos;RJ;300
Luciano Vieira;RJ;297
Fernando Monteiro;PE;297
Marcelo Lima;SP;288
Yury do Paredão;CE;285
Katia Dias;MG;213
Duarte Gonçalves Jr;MG;207
Samuel Viana;MG;200
Romero Rodrigues;PB;200
Bebeto;RJ;200
Luciano Amaral;AL;200
Nicoletti;RR;198
Vermelho;PR;198
Silvia Cristina;RO;198
Tiririca;SP;198
Toninho Wandscheer;PR;198
Luiz Lima;RJ;198
Vitor Lippi;SP;198
Alexandre Guimarães;TO;196
Chiquinho Brazão;RJ;196
Saullo Vianna;AM;196
Enfermeira Ana Paula;CE;196
Leonardo Gadelha;PB;196
Marcelo Queiroz;RJ;196
Fred Costa;MG;196
Ricardo Guidi;SC;196
Ricardo Salles;SP;196
Neto Carletto;BA;196
Igor Timo;MG;196
Vicentinho Júnior;TO;196
Thiago Flores;RO;196
Jadyel Alencar;PI;194
Cleber Verde;MA;194
José Nelto;GO;194
Gilberto Nascimento;SP;194
Glaustin da Fokus;GO;194
Fabiano Cazeca;MG;194
Jorge Goetten;SC;194
Pedro Lupion;PR;192
Carlos Sampaio;SP;192
Dr. Frederico;MG;192
João Maia;RN;192
Marreca Filho;MA;192
Robinson Faria;RN;190
Mauricio Marcon;RS;190
Ruy Carneiro;PB;190
Tenente Coronel Zucco;RS;186
Pedro Aihara;MG;186
Zucco;RS;186
Guilherme Derrite;SP;180
Coronel Armando;SC;180
Sargento Fahur;PR;180
Aluisio Mendes;MA;178
Osmar Terra;RS;178
Weliton Prado;MG;174
Euclydes Pettersen;MG;172
Júnior Mano;CE;156
Kim Kataguiri;SP;142
Samuel Santos;GO;138
Samuel dos Santos;GO;138
Mariana Carvalho;MA;135
Felipe Becari;SP;100
Geraldo Resende;MS;100
Paulo Alexandre Barbosa;SP;100
Pastor Claudio Mariano;PA;100
Helena Lima;RR;100
Ribamar Silva;SP;100
Geraldo Mendes;PR;100
Florentino Neto;PI;100
Alfredinho;SP;100
Fábio Teruel;SP;100
Filipe Martins;TO;100
Guilherme Uchoa;PE;100
Defensor Stélio Dener;RR;100
Denise Pessôa;RS;100
Castro Neto;PI;100
Dayany do Capitão;CE;100
Dayany Bittencourt;CE;100
Danrlei de Deus Hinterholz;RS;100
Daniela Reinehr;SC;100
Daiana Santos;RS;100
Murillo Gouvea;RJ;100
Carol Dartora;PR;100
Simone Marquetto;SP;100
Keniston Braga;PA;100
Silvye Alves;GO;100
Bruno Farias;MG;100
Kiko Celeguim;SP;100
Lebrão;RO;100
Clarissa Tércio;PE;100
Amália Barros;MT;100
Mauricio do Vôlei;MG;100
Augusto Puppio;AP;100
Tadeu Veneri;PR;100
Messias Donato;ES;100
Adilson Barroso;SP;100
Alexandre Lindenmeyer;RS;100
Antonio Andrade;TO;100
Bandeira de Mello;RJ;100
Any Ortiz;RS;100
Augusto Pupio;AP;100
Mersinho Lucena;PB;100
Iza Arruda;PE;100
Jack Rocha;ES;100
Juliana Cardoso;SP;100
Washington Quaquá;RJ;100
Ana Paula Lima;SC;100
Gabriel Mota;RR;100
Paulinho Freire;RN;100
Eduardo Velloso;AC;100
Dr. Benjamim;MA;100
Erika Hilton;SP;100
Pastor Diniz;RR;100
Mario Frias;SP;100
Dilceu Sperafico;PR;100
Dilvanda Faro;PA;100
Dr Benjamim;MA;100
Josenildo;AP;100
Márcio Honaiser;MA;100
Nely Aquino;MG;100
Rodrigo Estacho;PR;100
Luiz Fernando Faria;MG;100
Dra. Alessandra Haber;PA;100
Renilce Nicodemos;PA;100
Roberta Roma;BA;100
Raimundo Santos;PA;100
