nomeDeputado;total_discursos
Acácio Favacho;2
Adriana Ventura;15
Adriano do Baldy;1
Afonso Hamm;2
Afonso Motta;5
Aguinaldo Ribeiro;3
Airton Faleiro;2
Alberto Fraga;15
Albuquerque;1
Alencar Santana;7
Alfredinho;5
Alfredo Gaspar;1
Alice Portugal;4
Aliel Machado;3
Allan Garcês;4
Aluisio Mendes;4
Amanda Gentil;5
Amaro Neto;1
Amom Mandel;1
Ana Paula Lima;4
Ana Pimentel;15
André Ferreira;1
Antonio Brito;1
Antonio Carlos Rodrigues;1
Antônia Lúcia;1
Any Ortiz;3
Arlindo Chinaglia;8
Arthur Oliveira Maia;2
Augusto Coutinho;1
Aécio Neves;1
Bacelar;4
Bandeira de Mello;1
Bebeto;14
Benedita da Silva;15
Benes Leocádio;1
Beto Richa;1
Bia Kicis;4
Bibo Nunes;15
Bohn Gass;15
Bruno Farias;2
Cabo Gilberto Silva;15
Camila Jara;1
Capitão Alberto Neto;15
Capitão Alden;2
Carla Dickson;6
Carlos Gomes;1
Carlos Jordy;9
Carlos Veras;3
Carlos Zarattini;9
Carol Dartora;4
Celso Sabino;1
Charles Fernandes;10
Chico Alencar;15
Chris Tonietto;3
Clarissa Tércio;7
Cleber Verde;2
Cobalchini;4
Coronel Assis;13
Coronel Chrisóstomo;12
Coronel Fernanda;1
Coronel Meira;8
Coronel Ulysses;3
Célia Xakriabá;13
Célio Silveira;1
Célio Studart;2
Da Vitoria;1
Dagoberto Nogueira;1
Daiana Santos;4
Damião Feliciano;2
Dandara;2
Daniel Almeida;4
Daniel Barbosa;2
Daniel Freitas;2
Daniel Trzeciak;2
Daniela do Waguinho;1
Danilo Forte;2
David Soares;1
Defensor Stélio Dener;3
Delegada Ione;1
Delegado Caveira;15
Delegado Marcelo Freitas;4
Delegado Palumbo;1
Delegado Paulo Bilynskyj;1
Delegado da Cunha;3
Delegado Éder Mauro;1
Denise Pessôa;2
Diego Coronel;1
Domingos Sávio;15
Doutor Luizinho;1
Dr Flávio;2
Dr. Allan Garcês;4
Dr. Fernando Máximo;2
Dr. Frederico;2
Dr. Victor Linhalis;1
Dr. Zacharias Calil;7
Duarte;15
Duarte Jr.;15
Duda Ramos;1
Duda Salabert;3
Eduardo Velloso;2
Eduardo da Fonte;1
Eli Borges;15
Elisangela Araujo;3
Emanuel Pinheiro Neto;1
Emidinho Madeira;1
Enfermeira Rejane;5
Eriberto Medeiros;2
Erika Hilton;2
Erika Kokay;15
Eros Biondini;1
Evair Vieira de Melo;8
Fabiano Cazeca;4
Fausto Jr.;4
Fausto Santos Jr.;4
Felipe Carreras;1
Fernanda Melchionna;15
Fernando Mineiro;1
Filipe Martins;1
Flávio Nogueira;3
Franciane Bayer;2
Fred Costa;2
Gabriel Nunes;3
General Girão;15
Geovania de Sá;1
Geraldo Resende;3
Gervásio Maia;1
Gilberto Nascimento;2
Gilson Daniel;15
Gilson Marques;15
Gilvan da Federal;6
Gisela Simona;12
Greyce Elias;2
Guilherme Derrite;2
Guilherme Uchoa;2
Gustavo Gayer;8
Gustinho Ribeiro;1
Gutemberg Reis;1
Heitor Schuch;5
Helder Salomão;15
Heloísa Helena;15
Henderson Pinto;2
Hildo Rocha;15
Hugo Leal;2
Hugo Motta;15
Icaro de Valmir;4
Igor Timo;2
Ismael;2
Isnaldo Bulhões Jr.;4
Ivan Valente;14
Ivoneide Caetano;3
Iza Arruda;2
Jack Rocha;12
Jandira Feghali;15
Jefferson Campos;1
Jilmar Tatto;1
Joaquim Passarinho;1
Jonas Donizette;8
Jorge Goetten;2
Jorge Solla;9
Joseildo Ramos;5
Josenildo;1
José Airton Félix Cirilo;3
José Guimarães;15
José Medeiros;15
José Nelto;14
José Rocha;3
João Carlos Bacelar;1
João Daniel;3
Julia Zanatta;15
Juliana Cardoso;3
Julio Arcoverde;1
Julio Cesar Ribeiro;2
Julio Lopes;1
Junio Amaral;2
Júlio Cesar;2
Keniston Braga;1
Kiko Celeguim;2
Kim Kataguiri;30
Lafayette de Andrada;1
Laura Carneiro;15
Lenir de Assis;5
Leo Prates;1
Leonardo Monteiro;1
Leur Lomanto Júnior;2
Leônidas Cristino;12
Lincoln Portela;1
Lindbergh Farias;6
Lucas Abrahao;5
Lucas Redecker;2
Luciano Alves;1
Luciano Vieira;6
Luisa Canziani;4
Luiz Carlos Busato;1
Luiz Carlos Hauly;8
Luiz Carlos Motta;1
Luiz Couto;3
Luiz Gastão;1
Luiz Lima;30
Luiz Philippe de Orleans e Bragança;2
Lula da Fonte;1
Lêda Borges;2
Lídice da Mata;4
Magda Mofatto;4
Marcel van Hattem;15
Marcelo Crivella;2
Marcelo Moraes;1
Marcon;12
Marcos Pereira;3
Maria Arraes;1
Maria Rosas;3
Maria do Rosário;15
Marussa Boldrin;1
Mauricio Marcon;14
Mauricio do Vôlei;3
Mauro Benevides Filho;5
Max Lemos;3
Meire Serafim;1
Mendonça Filho;6
Merlong Solano;4
Messias Donato;6
Missionário José Olimpio;1
Murillo Gouvea;1
Murilo Galdino;1
Márcio Jerry;6
Márcio Marinho;1
Mário Heringer;2
Natália Bonavides;3
Neto Carletto;8
Nikolas Ferreira;1
Nilto Tatto;8
Orlando Silva;8
Osmar Terra;14
Ossesio Silva;2
Otoni de Paula;15
Padovani;1
Padre João;3
Pastor Henrique Vieira;6
Pastor Sargento Isidório;5
Patrus Ananias;4
Pauderney Avelino;10
Paulo Foletto;2
Paulo Folletto;2
Paulo Litro;1
Paulo Magalhães;4
Paulo Marinho Jr;6
Paulo Pimenta;1
Paulão;8
Pedro Campos;3
Pedro Lupion;4
Pedro Paulo;1
Pedro Uczai;15
Pezenti;4
Pompeo de Mattos;15
Pr. Marco Feliciano;1
Prof. Reginaldo Veras;4
Professora Luciene Cavalcante;1
Rafael Fera;7
Rafael Fera o Fiscal do Povo;7
Rafael Simoes;7
Reginaldo Lopes;1
Reimont;15
Reinhold Stephanes;15
Renildo Calheiros;2
Ribamar Silva;2
Ribeiro Neto;30
Ricardo Ayres;10
Ricardo Galvão;8
Ricardo Maia;5
Ricardo Salles;2
Roberto Duarte;15
Roberto Monteiro;3
Roberto Monteiro Pai;3
Rodolfo Nogueira;2
Rodrigo Rollemberg;15
Rodrigo da Zaeli;12
Rogério Correia;7
Romero Rodrigues;2
Rosana Valle;1
Rosangela Moro;2
Rosângela Reis;1
Rubens Otoni;2
Rubens Pereira Júnior;14
Ruy Carneiro;6
Sanderson;5
Sargento Fahur;30
Sargento Gonçalves;5
Sargento Portugal;6
Saullo Vianna;6
Saulo Pedroso;1
Sergio Santos Rodrigues;2
Sidney Leite;4
Silas Câmara;1
Silvia Cristina;2
Silvio Antonio;11
Silvye Alves;1
Simone Marquetto;1
Soldado Noelio;9
Soraya Santos;15
Sâmia Bomfim;4
Sóstenes Cavalcante;3
Tadeu Veneri;10
Talíria Petrone;7
Tarcísio Motta;15
Thiago de Joaldo;2
Tião Medeiros;3
Túlio Gadêlha;6
Valmir Assunção;5
Vermelho;2
Vicentinho;10
Vinicius Carvalho;5
Waldenor Pereira;4
Weliton Prado;2
Welter;6
Wilson Santiago;4
Zé Neto;6
Zé Silva;1
Zé Trovão;11
Átila Lins;6
Átila Lira;3
